,Timestamp,Temp,Rad_Direct,Rad_Diffuse,Load_Actual,Load_Forecast,Price_Day_Ahead,Solar_Cap,Solar_Gen
0,0.0,0.31020946837670466,0.0,0.0,0.3491798256607347,0.3328528661714159,0.0,0.0,0.0
1,5.700279313686371e-05,0.31528543873303777,0.0,0.0,0.3381791851171081,0.3305244483867391,0.0,0.0,0.0
2,0.00011400558627372742,0.32130892355588636,0.0,0.0,0.2814492995794692,0.301474664596962,0.0,0.0,0.0
3,0.0001710083794105911,0.3280768840309973,0.0,0.0,0.2299830116690339,0.23916176959751637,0.0,0.0,0.0
4,0.00022801117254745484,0.3349802037156103,0.0,0.0,0.18637034561506113,0.17086151458033041,0.0,0.0,0.0
5,0.0002850139656843185,0.3408006497242056,0.0,0.0,0.17353162336034755,0.13391174187825702,0.0,0.0,0.0
6,0.0003420167588211822,0.344793746404521,0.0,0.0,0.1885983234466817,0.1464131278412241,0.0,0.0,0.0
7,0.00039901955195804597,0.35064803221549184,0.0,0.0,0.20029520706268972,0.15855416343275308,0.0,0.0,0.0
8,0.00045602234509490967,0.359141822611756,5.6949172612565876e-05,0.00865809953043759,0.2230205809452196,0.19214990575451824,0.0,0.0,0.0029750355710774804
9,0.0005130251382317733,0.3702074379885621,0.0003997731566437168,0.05072149965571298,0.2947057676776116,0.27547399933473776,0.0,0.0,0.013193636010865347
10,0.000570027931368637,0.38401407735778825,0.0014289977409743403,0.12006404231063371,0.37691814966441084,0.3707173744317552,0.0,0.0,0.023024188332686588
11,0.0006270307245055007,0.3982606341578965,0.002390610862665816,0.1655539859418939,0.4417523045645696,0.44414569242709834,0.0,0.0,0.04760056913723969
12,0.0006840335176423644,0.40922473012757604,0.0020459052980417386,0.15732711984013265,0.48486367560642774,0.4898547510810511,0.0,0.0,0.07243564868710387
13,0.0007410363107792281,0.41666948665019793,0.0013429467885245159,0.12156584382456367,0.49374773721001475,0.48655615921942563,0.0,0.0,0.06157030138403829
14,0.0007980391039160919,0.4219484958207844,0.000758904172480228,0.07617308320757853,0.49360848859553846,0.4780740658609602,0.0,0.0,0.051610399689561506
15,0.0008550418970529556,0.42418192277757094,0.00016946769206955175,0.0201910022004826,0.5123235023811513,0.5027442066747977,0.0,0.0,0.06157030138403829
16,0.0009120446901898193,0.4264153497343576,1.2543870619507903e-07,2.9543636339605657e-05,0.5821706074024563,0.5765605943009203,0.0,0.0,0.10399689561505626
17,0.000969047483326683,0.43101756285743287,0.0,0.0,0.6123040075751246,0.5957977602838452,0.0,0.0,0.20501875565903505
18,0.0010260502764635466,0.43568745558525934,0.0,0.0,0.5759879689197093,0.5573234283179953,0.0,0.0,0.15909972836631742
19,0.0010830530696004103,0.4388007174038103,0.0,0.0,0.526471161611942,0.5186827807960971,0.0,0.0,0.1614280170741172
20,0.001140055862737274,0.44056038712733914,0.0,0.0,0.47299969365304817,0.46873267546291164,0.0,0.0,0.1553485965593067
21,0.0011970586558741377,0.4422185374437413,0.0,0.0,0.4015930041496087,0.39034261004545956,0.0,0.0,0.07541068425818134
22,0.0012540614490110014,0.4433352509221346,0.0,0.0,0.33937672320160417,0.2976771260671915,0.0,0.0,0.0367352218341741
23,0.0013110642421478652,0.4389699164156881,0.0,0.0,0.26362547692650456,0.22003548065195697,0.02953953953953954,0.0,0.0
24,0.0013680670352847289,0.42458800040607764,0.0,0.0,0.24407497145403403,0.24348597405477326,0.02796796796796797,0.0026959767731231854,0.0
25,0.0014250698284215926,0.40421643937599405,0.0,0.0,0.22552705600579273,0.2202017962080053,0.025525525525525526,0.0026959767731231854,0.0
26,0.0014820726215584563,0.3817129707962505,0.0,0.0,0.19812292867685966,0.2113316332187604,0.02094094094094094,0.0026959767731231854,0.0
27,0.0015390754146953202,0.3596155798450137,0.0,0.0,0.17094159913108864,0.17745869830358132,0.017397397397397395,0.0026959767731231854,0.0
28,0.0015960782078321839,0.33349125241108585,0.0,0.0,0.15228228479126632,0.15256680341501275,0.019869869869869872,0.0026959767731231854,0.0
29,0.0016530810009690476,0.3080437210246692,0.0,0.0,0.1697997604923831,0.18699412351701963,0.020690690690690693,0.0026959767731231854,0.0
30,0.0017100837941059113,0.29044702378938103,0.0,0.0,0.2457738045506447,0.29465572679897994,0.025385385385385383,0.0026959767731231854,0.0
31,0.001767086587242775,0.27684342323440825,0.0,0.0,0.33567271005653493,0.40059873600177404,0.03203203203203203,0.0026959767731231854,0.02664597076704178
32,0.0018240893803796387,0.2658116476599776,0.0006833900713507905,0.01922876078180755,0.4146823739103796,0.4817607273533651,0.035125125125125126,0.0026959767731231854,0.06053550640279395
33,0.0018810921735165024,0.26980474434029306,0.014321211647585977,0.13298238603218338,0.48809424346227753,0.5347045126954207,0.03937937937937938,0.0026959767731231854,0.1559953434225844
34,0.001938094966653366,0.2872999221684545,0.07385981547213687,0.21633794188144764,0.513158994068009,0.5534427320102007,0.03748748748748749,0.0026959767731231854,0.2567585047212521
35,0.00199509775979023,0.30560725525362925,0.12604219181058354,0.23238013641385347,0.524967276575598,0.5689932365007208,0.039769769769769765,0.0026959767731231854,0.31522442116155736
36,0.0020521005529270933,0.31454096308077556,0.1421460129119078,0.22449120804706457,0.5248558776840171,0.5841833906198026,0.04411411411411412,0.0026959767731231854,0.3084982537834691
37,0.002109103346063957,0.31213833711211125,0.11697460405585985,0.19980257594593415,0.5224608015150249,0.5844328639538752,0.03985985985985986,0.0026959767731231854,0.2589574440563963
